name,address,categories,description,services,email,pops_served,hand_sort__001,crisis_line,business_line,fax_number,insurance ,cost,languages,website,hand_sort__002,hand_sort__003,hand_sort__004,hand_sort__005,hand_sort__006,hand_sort__007,hand_sort__008,hand_sort__009,hand_sort__010,hand_sort__011,hand_sort__012,hand_sort__013,hand_sort__014,hand_sort__015,hand_sort__016,hand_sort__017,hand_sort__018,hand_sort__019,languges,wheelchair
Centro Latino de San Francisco 79,,Elders (55+) Latina Transportation,This entry needs a description,This entry needs a services list,,This entry needs a populations served list,1656 15th St. San Francisco CA 94103,,,,,,,http://centrolatinodesf.org,Fees: Hours: Ages:,$1.25-3.50,Varies 60+,,"Provides meals, transportation, ESL/citizenship classes, social activities, nutrition education, housing placement, perventive health screenings, case management for seniors,","Spanish, Russian",,,,,,,,,,,,,"Spanish, Russian",This entry needs Wheelchair accessibliy info
Charna Cassell Certified Somatic Practitioner 80,582 Market St. San Francisco CA,Somatic Healing,Working with trauma and how it lives in the body,This entry needs a services list,info@passionatelife.org,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,www.passionatelife.org,TDD:,Insurance: Fees: Hours: Ages:,415-999-2422,No,$90/session Varies,All,,Yes,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Child & Adolescent Sexual Abuse Resource Center(CAS 81,995 Potrero Ave. Bldg 80 Ward San Francisco CA 94110,Significant Others Child Sexual Abuse Counseling: Licensed,"Phone Consultation about issues of child sexual abuse to parents, youth, schools, health care and counseling providers, and presentations to groups in the community and more (see below)","Provides crisis counseling, medical treatment, evidence collection, therapy, liaison with Victim Witness, and referrals for child (up to 18 years) survivors.",This entry needs an email address,"sexually abused children, adolescents and their families",Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-206-8386,415-206-8386,415-206-6273,Yes,Sliding scale 9-5 M-F,All,,Wheelchair Accessible: Yes,Many,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Child Crisis,82,Suicide Hotlines,Children and youth who feel like they might hurt themselves or someone else can call a 'crisis' hotline. People who work at crisis hotlines help callers figure out options and ways to get,"Short term case management, crisis response team, psychiatric evaluation: homicidal/suicidal behavior.",This entry needs an email address,Children and youth,San Francisco CA,,,,,,,E-mail,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-970-3800,24/7,,Wheelchair Accessible: Languages,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Child Help USA,83,Child Sexual Abuse Hotlines,National Child Abuse Hotline,"24 Hr. crisis-line, counseling information and referrals",,This entry needs a populations served list,National,,,,,,,www.childhelp.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,800-422-4453,24/7,,Wheelchair Accessible: Languages,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Child Protective Services 84,170 Otis St. San Francisco CA 94120,24hr Services Child Sexual Abuse,Take reports of suspected child abuse for children who live in SF investigate reports as appropriate.,"Has playroom, counseling for children and parents. Provide services and referrals for families with children at risk for abuse/neglect.",This entry needs an email address,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,800-856-5553,415-558-2660,415-558-2211,415-557-5214,FREE 24/7,All,,Wheelchair Accessible: No,"Spanish, Tagalog",,,,,,,,"Spanish, Tagalog",This entry needs Wheelchair accessibliy info
Children of Lesbians and Gays Everywhere 85,1550 Bryant Street #830 San Francisco CA 94103,LGBTQII Significant Others,"Colage is the only national and international organization in the world specifically supporting young people with gay, lesbian, bisexual, and transgender parents.","Various programs to support LGBTQQII families such as family picnics, support groups, etc.",colage@colage.org,LGBT youth and their families,Crisis line: Business line: Fax:,,,,,,,www.colage.org,TDD:,Insurance: Fees: Hours: Ages:,415-861-KIDS,415-255-8345,10-6 M-F,All,,Wheelchair Accessible: Languages,Yes,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Children of the Night Line 86,14530 Sylvan St Van Nuys CA 91411,Youth Hotlines Sex Workers,National crises intervention line for ages 11-17 who are coerced into prostitution or pornography,This entry needs a services list,,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,www.childrenofthenight.org,TDD:,Insurance: Fees: Hours: Ages:,800-551-1300,818-908-4474,24/7,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Children's Emergency Service (CES) 87,P.O. Box 7988 San Francisco CA 94120,Child Sexual Abuse Hotlines,"To report suspected cases of child abuse, neglect and sexual abuse.",This entry needs a services list,This entry needs an email address,All,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,800-856-5553,415-558-2650,415-558-2211,415-557-5214,FREE 24/7,All,,All,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Chinatown Community Development Center 88,1525 Grant Ave. San Francisco CA 94133,Tenants Rights Asian/Pacific Islander Social Justice,Tenant advocacy and counselling,"Works with City government on improving transportation systems, environmental and open space planning, affordable housing development",,ALL,Crisis line: Business line: Fax:,,,,,,,www.chinatowncdc.org,TDD:,Insurance: Fees: Hours: Ages:,415-984-1450,415-362-7992,415-984-9910,FREE,9-6 M-F,All,,Chinese,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Chinatown North Beach Mental Health Services 89,,Counseling: Licensed,This entry needs a description,This entry needs a services list,This entry needs an email address,all,729 Filbert St. San Francisco CA 94133,,,,,,,E-mail,Fees: Hours: Ages:,Sliding scale 8:30-5 M-F,14+,,"Psychiatric evaluation, group activities and therapy, individual counselling, case management, family intervention, crisis intervention, medications, acupuncture",Many,,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Chinese for Affirmative Action 90,17 Walter U. Lum Place San Francisco CA 94108,Employment Asian/Pacific Islander Social Justice,"Advocates for equal access to employment opportunities for Asian Americans, as well as offers recruitments and preperarton for jobs for women in construction, public safety, and law",This entry needs a services list,caa@caasf.org,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,www.caasf.org,TDD:,Insurance: Fees: Hours: Ages:,415-274-6750,415-397-8770,FREE,9-5 M-F,All,,Chinese,,,,,,,,,,Chinese,This entry needs Wheelchair accessibliy info
Chinese Progressive Association 91,1042 Grant Ave. 5th Floor San Francisco CA 94133,Asian/Pacific Islander Social Justice,CPA‰Ûªs campaigns and programs improve the living and working conditions of low-income immigrants and give ordinary community members a stronger voice in the decision-,This entry needs a services list,justice@cpasf.org,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,www.cpasf.org,TDD:,Insurance: Fees: Hours: Ages:,415-391-6986,415-391-6987,,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
City Clinic 92,356 7th St. San Francisco CA 94103,HIV/AIDS Health Clinics,City Clinic is a speciality clinic which has been providing diagnosis and treatment of sexually transmittind diseases (STD) to the San Francisco community since 1933.,"Evaluation and treatment for over 25 STDs, Family Planning, PAP Smears, pregnancy counseling and testing and culposcopy services. HIV Counseling, testing, referrals,","Deborah,Williams@sfdph.org",This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,www.sfcityclinic.org,TDD:,Insurance: Fees: Hours: Ages:,415-487-5500,415-487-5500,Yes,$0-10,Varies 12+,,"Spanish, Cantonese, Tagalog, French, Rusisan Mandarin",,,,,,,,,,"Spanish, Cantonese, Tagalog, French, Rusisan Mandarin",This entry needs Wheelchair accessibliy info
CMHS Mobile Crisis Treatment Team 93,1520 Howard St San Francisco CA 94103,Health Clinics Counseling: Licensed,"An emergency care provider which provides assessment, general mental health services, and medication support, seven days per week, in an effort to ameliorate crisis situations.",Wheelchair Accessible: Yes,This entry needs an email address,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-355-8300,415-861-5395,415-255-3429,FREE,8:30am-10pm M-F,18+,,Many,,,,,,,,,Many,This entry needs Wheelchair accessibliy info
Coalition of Agencies Serving the Elderly 94,P.O. Box 420896 San Francisco CA 94142,Elders (55+),"Composed of individuals and organizations that assist the elderly, offer information, referrals and education, program planning and development, and advocacy.",This entry needs a services list,This entry needs an email address,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-447-2498,415-447-2490,Varies,8-4:30 M-F,,Yes,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Cole Street Clinic 95,555 Cole St. San Francisco CA 94117,This entry needs a categories list,Free medical clinic for youth.,"Provides primary medical care (including pregnancy testing) as well as individual counseling, peer education, and case management. Also services for HIV+ youth.",,HIV treatment up to age 24,Crisis line: Business line: Fax:,,,,,,,http://www.huckleberryyouth.or Categories:,TDD:,Insurance: Fees: Hours: Ages:,415-386-9398,415-386-8212,Yes FREE,Varies 12-24,,Wheelchair Accessible: Yes,Spanish,g/cole html,Youth Health Clinics,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Coleman Advocates For Children and Youth 96,459 Vienna St San Francisco CA 94112,Youth Social Justice,Coleman Advocates has been the voice for children in SF for over 118 years.,"Fight for reform, increased budgets for children‰Ûªs services, and innovative policies and programs that focus on prevention, collaboration and community involvement.",,Children in SF,Crisis line: Business line: Fax:,,,,,,,www.colemanadvocates.org,TDD:,Insurance: Fees: Hours: Ages:,415-239-0161,415-239-0584,M-F 9a-5p,,Wheelchair Accessible: Yes,Spanish,,,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Communities Against Rape and Abuse (CARA) 97,"801 23rd Ave. S., #G1 Seattle WA",Social Justice,CARA promotes a broad agenda for liberation and social justice while prioritizing anti-rape work as the center of the organizing.,Wheelchair Accessible: Yes,This entry needs an email address,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,uest Website www.cara-seattle.org E-mail info@cara-seattle.org,TDD:,Insurance: Fees: Hours: Ages:,206-322-4856,206-322-4856,FREE,Varies,,Interpreters available Populations served:,"serves everyone, with special programs for","Black communities, disability communities, and",,,,,,,,,Interpreters available Populations served:,This entry needs Wheelchair accessibliy info
Communities Overcoming Relationship Abuse 98,,This entry needs a categories list,This entry needs a description,This entry needs a services list,,This entry needs a populations served list,P.O. Box 5090 San Mateo CA 94402,,,,,,,www.corasupport.org Categories:,,Wheelchair Accessible: Languages,Domestic Violence,,,,,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Community Solutions: San Diego 99,PO BOX 546 Morgan Hill CA 95038,CA Rape Crisis Center,Multi-service agency providing a variety of services and programs.,"The rape crisis program provides crisis intervention, counseling for survivors, significant others and family members, accompaniment, advocacy, rape prevention education.",,South County and San Benito County,Crisis line: Business line: Fax:,,,,,,,www.communitysolutions.org,TDD:,Insurance: Fees: Hours: Ages:,877-END-SADV,408-842-7138,408-778-9672,Varies 9-5 M-F,All,,Wheelchair Accessible: No,Spanish,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Community United Against Violence (CUAV),170A Capp St. San Francisco CA 94110,LGBTQII Domestic Violence Hotlines,Organization serving LGBTQ community.,"Support group for battered men. Educational programs. Counseling, help with TRO‰Ûªs. Serves victims of hate crimes & sexual assault (primarily men).",info@cuav.org,"All including youth (but mandated reporters), Sex Workers, Leather, and Intersex",100,,,,,,,www.cuav.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-333-HELP,415-777-5500,415-777-5565,FREE,10-6 M-F,All,,Wheelchair Accessible: Yes,Many,,,,,,,Many,This entry needs Wheelchair accessibliy info
Community Violence Solutions: Antioch Office,"301 W. 10th St., Suite 3 Antioch CA 94509",This entry needs a categories list,"Provide in-person counseling, accompaniment, advocacy for sexual assault survivors and their family, community prevention education","Speakers Bureau, self defense video available, teen pregnancy, SART (Sexual Assault Response Team), assertive class, 24-hour crisis line",admin@cvsolutions.org,Contra Costa,101,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,800-670-7273,925-706-4290,9-5 M-F,,Wheelchair Accessible: Yes,Spanish,CA Rape Crisis Center,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Community Violence Solutions: Marin,2101 Van Ness St. San Pablo CA 94806,CA Rape Crisis Center,CA Rape Crisis Center,"Speakers Bureau, self defense video available, teen pregnancy, SART (Sexual Assault Response Team), assertiveness class, 24-hour crisis line",admin@cvsolutions.org,All Contra Costa County and all Marin County,102,,,,,,,www.cvsolutions.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,800-670-7273,510-237-0113,$15-80 9-5 M-F,All,,Wheelchair Accessible: Yes,Spanish,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Community Violence Solutions: San Rafael Office,"734 A St., Suite 3 San Rafael CA",This entry needs a categories list,"Provide in-person counseling, accompaniment, advocacy for sexual assault survivors and their family, community prevention education","Speakers Bureau, self defense video available, teen pregnancy, SART (Sexual Assault Response Team), assertive class, 24-hour crsis line",admin@cvsolutions.org,Contra Costa,103,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,800-670-7273,415-259-2850,9-5 M-F,,Wheelchair Accessible: Yes,Spanish,CA Rape Crisis Center,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Community Youth Center,1237 Van Ness ave Suite 200 San Francisco CA 94109,Youth Counseling: Licensed,Works to prevent & divert youth from becoming involved in gangs or drugs.,"Services include case management, employment, after-school programs, individual & family counseling, advocacy for statud offenders.",This entry needs an email address,This entry needs a populations served list,104,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-775-2636,415-775-1345,9-5 M-F,18-Nov,,Many,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Comprehensive Child Crisis Services,"3801 3rd. St., Build. B, Ste. 400 San Francisco CA 94124",Significant Others Youth Hotlines,24 Hr. crisis intervention for children and their families.,24-hour crisis line,This entry needs an email address,all,105,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-970-3800,415-970-3800,415-970-3855,Yes,Sliding scale 9-5 M-F,17-Apr,,Wheelchair Accessible: Yes,"Spanish, Filipino, Cantonese, Greek, Vietnamese",,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Computers and You,330 Ellis St. San Francisco CA 94102,Social Justice,Glide Memorial Church program provides computer access and training to homeless and other underprivileged populations.,"Courses in word processing, use of spreadsheets, and other common software programs.",,low income,106,,,,,,,www.glide.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-922-7593,415-922-0756,Varies,,Wheelchair Accessible: Languages,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Connecting Point,"995 Market St., 6th Floor San Francisco CA 94103",This entry needs a categories list,Centralized entryway for homeless or nearly homeless families to access shelter placement and eviction prevention services,Wheelchair Accessible: Yes,connectingpoint@compass-sf.org Housing/Shelter,Homeless families with minor children,107,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,888-811-SAFE,415-442-5130,415-442-5138,N/A FREE,9-5 M-F,18+/Emancipated,,Spanish,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Connections Answering Service,San Francisco CA,Often Called Numbers,Answering service for SFWAR's crisis line,This entry needs a services list,This entry needs an email address,This entry needs a populations served list,108,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-469-4409,,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Consortium for Elder Abuse Prevention,"3330 Geary Blvd., 3W San Francisco CA 94118",Elders (55+),No documentation required.,"Provides referrals, community education, counseling. Case review team investigates and assess claims of elder abuse.",This entry needs an email address,This entry needs a populations served list,109,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-750-4180,FREE,9-5 M-F,55+,,Wheelchair Accessible: Languages,Yes,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Curry Senior Services,333 Turk St. San Francisco CA 94102,Alcohol/Substance Ab Elders (55+) Health Clinics,Services:,This entry needs a services list,,Seniors,110,,,,,,,www.curryseniorcenter.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-885-2274,415-885-2344,415-885-4861,Yes,Sliding scale 9-5 M-F,55+,,"Medical treatment, counseling, case management and meals to low-income and frail senior citizens who need assistance, outpatient program for substance abusers",Wheelchair Accessible: Yes,"Spanish, Tagalog, Russian, Cantonese, Laotian Cambodian",,,,,,"Spanish, Tagalog, Russian, Cantonese, Laotian Cambodian",This entry needs Wheelchair accessibliy info
"Debbie Watson, MFT",1471 Clay St. San Francisco CA 94109,This entry needs a categories list,"Private practitioner - individual, couple and family therapy for adults and adolescents.","Has worked with people who have been sexually abused by past therapists or clinicians, physical & emotional battering (man to man, man to woman, woman to man).",debywatson@aol.com,Adult & child sexual assault; LGBT; teens; people with eating disorders,111,,,,,,,,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-441-2926,415-441-2926,Yes,Sliding scale Varies,10+,,Wheelchair Accessible: Languages,Yes,Significant Others Counseling: Licensed,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
"Debra Warshaw Taube, MFt",1952 Union St. San Francisco CA 94123,Adult Survivors of CSA/ Counseling: Licensed,"Private practice psychotherapy, focus is working with adult survivors of childhood abuse",Wheelchair Accessible: No,This entry needs an email address,Adult & Child sexual assault; stalking; LGBT; Others,112,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-928-3352,Yes,$20-80,All,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Defensa De Mujeres: Monterey,1537 Pacific Ave #300 Santa Cruz CA 95060,CA Rape Crisis Center Latina Domestic Violence,This entry needs a description,This entry needs a services list,,"mainly Latina/o population, Santa Cruz County",113,,,,,,,www.wcs-ddm.org,Fees: Hours: Ages:,FREE,9-5 M-F,12+,,"Culturally sensitive services providing counseling, support, advocacy, 24 hour bilingual/bicultural hotline, court accompaniment, legal advocacy, information",Yes,"and referral, support groups.",Spanish,,,,,,,,,,Spanish,Yes
Department of Aging and Adult Services,1650 Mission St 5th Fl San Francisco CA 94103,Survivors with Disabilitie Elders (55+),The Department of Aging and Adult Services (DAAS) is the Area Agency on Aging for the City and County of San Francisco.,"In this capacity, DAAS is specifically charged with planning, coordinating, providing and advocating for community-based services for older adults and adults with disabilities.",,Seniors and Adults with Disabilities,114,,,,,,,www.sfgov.org/daas,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-335-6700,415-355-6750,n/a,M-F 8a-5p 18+,,Wheelchair Accessible: Yes,"Cantonese, Mandarin, Spanish +",,,,,,,,,"Cantonese, Mandarin, Spanish +",This entry needs Wheelchair accessibliy info
Department on the Status of Women,"25 Van Ness Ave., #130 San Francisco CA 94102",This entry needs a categories list,Iimplements the San Francisco Convention on the Elimination of All Forms of Discrimination Against Women (CEDAW) Ordinance,Wheelchair Accessible: Yes,dosw@sfgov.org,"Women, girls, and all citizens of San Francisco",115,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-252-2570,415-252-2575,415-252-2550,8-5 M-F,,"Spanish, Chinese",Social Justice,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Destiny Arts Center,1000 42nd St Oakland CA 94608,Self Defense,Affordable martial arts training for youth and teens.,"De-escalation of violence workshops, some taught by teens, excellent performances by and about youth. Martial arts and dance training.",info@destinyarts.org,youth at risk and all populations.,116,,,,,,,www.destinyarts.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,510-597-1619,510-597-1620,$25-213,Varies 3-18,,Spanish,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Diamond Street Youth Shelter,536 Central (btw. Hayes & Grov San Francisco CA 94117,Housing/Shelter Youth Emergency Needs,"Night shelter for homeless & runaway youth. May stay up to 20 nights, guardians contacted after 5 nights.","Provide counseling, food, showers, referrals. Drop -in centers for 90-day shelter available at 1317 Haight, M:F 9:30 - 9pm (522-1377) & 1044",This entry needs an email address,"Accept pregnant women. Accepts out of county youth, refers SF teens to Huckleberry",117,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,800-669-6196,415-567-1020,FREE,8:30pm-8:30am 12-17,,Larkin at Post,Wheelchair Accessible: Yes,Spanish,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Dimensions Youth Clinic,3850 17th St. San Francisco CA,Health Clinics LGBTQII Youth,Dimensions is a special health clinic for LGBTQ young people ages 12-25.,Call for full range of mental and clinical health care services available on a sliding scale.,,"Youth, homeless, transgender",118,,,,,,,www.dimensionsclinic.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-487-7589,SS,,25-Dec,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Disability Rights Education and Defense Fund,2212 Sixth St. Berkeley CA 94710,Survivors with Disabilitie Social Justice Legal: Services,"Work to advance the civil and human rights of people with disabilities through legal advocacy, training, education, and public policy and legislative development.","Nationwide referrals available. Legal advocacy, education and training, public policy development.",info@dredf.org,"People with disabilies and their families, disability service providers.",119,,,,,,,www.dredf.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,510-644-2629,510-644-2555,510-841-8645,510-644-2555,N/A FREE,9-5 M-F,All,,Wheelchair Accessible: Yes,"Spanish, Farsi, Cantonese",,,,,,"Spanish, Farsi, Cantonese",This entry needs Wheelchair accessibliy info
Drug and Alcohol Abuse Hotline,San Francisco CA,Hotlines Alcohol/Substance Abu,Services:,This entry needs a services list,This entry needs an email address,This entry needs a populations served list,120,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-362-3400,,Wheelchair Accessible: Languages,,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Early Crisis Intervention and Eviction Prevention,1255 Post Street San Francisco CA 94109,CA Rape Crisis Center,"Provide a wide array of bilingual (Spanish/English), culturally sensitive crisis intervention services to the greater LA community.",24 Hour Crisis Line,,Greater LA County,121,,,,,,,http://elawc.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-474-7310,FREE,12+,,Wheelchair Accessible: No,Spanish,,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
"Earn it, keep it, save it: Free Tax Help",National,Legal: Services,Call for free tax help locations in your neighborhood.,This entry needs a services list,,This entry needs a populations served list,122,,,,,,,www.earnitkeepitsaveit.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,800-358-8832,FREE,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
East Bay Community Recovery Program,2551 San Pablo Ave Oakland CA 94612,Alcohol/Substance Ab,Residential and outpatient clinic for drug & alcohol abusers.No documentation required.,Provide counseling & child care. Residential program for poor women and children (infant to 12). HIV support.,,Adults,123,,,,,,,www.ebcrp.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,510-446-7180,510-832-0609,Yes,Sliding scale 9-5 M-F,18+,,"Spanish, some Asian languages",,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
EDD Career Link Center,3120 Mission St. and 801 Turk St. San Francisco CA 94120,Employment,"EDD Career Link offers interview preperation, resume workshops, career counseling, job listings-CAL jobs via the internet, info on how to get pay for training, referrals and placement.",This entry needs a services list,,Individuals legally entitled to work in the U.S.,125,,,,,,,www.edd.ca.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-749-7503,415-749-7585,9-5 M-F,16+,,Many,,,,,,,,,,Many,This entry needs Wheelchair accessibliy info
Ella Baker Center for Human Rights,344 40th St. Oakland CA 94609,Social Justice Hotlines Legal: Services,Promote positive alternatives to violence and incarceration,"Hotline, documentation and a legal referral service for victims of police abuse, Documents incidents of police abuse in detail so that they can build up records on problem officers and",contact@ellabakercenter.org,All,126,,,,,,,www.ellabakercenter.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,510-428-3939,510-428-3939,510-428-3940,9-5 M-F,All,,Spanish,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Ella Hill Hutch Community Center,1050 McAllister St. San Francisco CA 94115,Youth Employment Elders (55+),"Recreational activities for youth, adults, and seniors.","Mentorship, case management, and advocacy for kids ages 9-17. Apprenticeships for crafts and construction including job placement services for adults, employment counseling and",This entry needs an email address,all,127,,,,,,,E-mail,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-921-6276,415-921-0643,FREE,8am-8pm M-F All,,Wheelchair Accessible: Languages,referrals,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
"Ellen Dekker, MFT",4155 B 24th St. San Francisco CA 94114,Counseling: Licensed,"Therapy for individuals and couples, gay and straight. Work with trauma, eating disorders, depression, parenting issues, life transitions.",This entry needs a services list,This entry needs an email address,This entry needs a populations served list,128,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-979-6830,Varies,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Employment Law Center (Legal Aid Society SF),600 Harrison St. #120 San Francisco CA 94107,This entry needs a categories list,"Lesbian, Gay, Bisexual, Transgender Workers‰Ûª Rights Project provides free legal help about work related concerns, such as discrimination or harassment based on sexual orientation or",Free legal help.,info@las-elc.org,"Lesbian, Gay, Bisexual, Transgender",129,,,,,,,www.employmentlawcenter.or Categories:,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-864-8848,415-864-8199,415-593-0091,,Wheelchair Accessible: Languages,g,Employment LGBTQII Legal: Attorney,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Episcopal Community Service,"165 Eighth Street, 3rd Floor San Francisco CA 94103",Housing/Shelter Counseling: Peer,"All confidential, no documentation required. Daily lottery for beds, no limit to stay. Must be referred from another service.","Provides shelter, medical clinic and case management for women and men. Case management lasts up to 6 months, includes counseling.",,"homeless adults - good place to send someone who has a physical injury, or needs bed rest.",130,,,,,,,www.ecs-sf.org,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-487-3740,FREE,9-5 M-F,18+/Emancipated,,Wheelchair Accessible: Yes,"Spanish, Varies",,,,,,,,,"Spanish, Varies",This entry needs Wheelchair accessibliy info
Equal Employment Opportunity Commission,"350 The Embarcadero, Suite 50 San Francisco CA 94103",Employment Social Justice,"The EEOC investigates complaints of employment discrimination based on race, sex, color, age, national origin, equal pay, religion, pregnancy, marital status, age.",Wheelchair Accessible: Yes,,This entry needs a populations served list,131,,,,,,,www.eeoc.gov,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,800-669-4000,415-625-5609,8-4:30 M-F,,Many,,,,,,,,,,,Many,This entry needs Wheelchair accessibliy info
