name,description,categories,crisisLine,businessLine,website,email,address,fax,cityState,payment,zip,accessibility,hours,languages
Center for Human Development,"Non-profit that promotes health and well-being of individual, families, and communities. Provides a variety of different programs including: Conflict Resolution Panel, Empowerment Project (HIV prevention program including community outreach",Policy Advocacy,,925-687-8844,chd-prevention.org,info@chd-prevention.org,"391 Taylor Boulevard, Ste 120",925-849-8177,"Pleasant Hill, CA",,94523,,,
Center for Independent Living,"Organization which helps disabled people live independently. No documentation required. Provides advocacy, information, other services, which include attendant referral services, an Asian/Latino Outreach Project,Deaf & Blind services, peer counseling, legal advice, youth services. TDD: 510-848-3101","Disability, TDD, Support Groups, Counseling: Peer",,510-841-4776,cilberkeley.org,info@cilberkeley.org,3075 Adeline St. Ste 100,510-841-6168,"Berkeley, CA",Free,94703,Wheelchair,M-F 9am-5pm,"SPA, Varies"
Center for Non-Violent Community,CA Rape Crisis Center- Sonora. Toll Free Crisis # 800-454-4766,"CA Rape Crisis Center, Counseling: Licensed, Counseling: Peer, Domestic Violence, Hotlines",209-533-3401,209-588-9305,mountainwomen.org,info@nonviolentcommunity.org,19043 Standard Rd,209-588-9272,"Sonora, CA",Free,95370,N/A,M-F 9am-5pm,SPA
Center for Somatic Psychotherapy,"Individual, couple, family counseling for survivors of trauma. Don't see people in full psychosis or who are addicted, unless in rehab. Staff are MFCC interns. Some support groups.","Somatic Healing, Counseling: Licensed, Healing Modalities",,415-217-8895,somaticpsychotherapycenter.org,,220 Montgomery St #600,,"San Francisco, CA",$25-$75,94104,,M-F 9am-8pm,"SPA, FRE, HEB, GER, BUL"
Center for the Pacific Asian Family,24 hour sexual assault and domestic violence hotline in over 30 API languages.,"Asian/Pacific Islander, 24-Hour Services, Hotlines, Counseling: Peer, Support Groups",1-800-339-3940,323-966-4590,nurturingchange.org,www.nurturingchange.org/contact,1102 Crenshaw Blvd,,"Los Angeles, CA",Free,90019,Wheelchair,24/7,Over 30 API languages 40
Center for Violence-Free Relationships: El Dorado,"Dedicated to building healthy relationships, families and communities free from sexual assault and domestic violence through education, advocacy and services. Serves all ages 13+ in El Dorado County. 2nd Crisis Line: 916-939-6616. 2nd Business Line: 916-939-4464 Positive Solutions program is on a sliding scale all other services are free to clients","CA Rape Crisis Center, Domestic Violence, Counseling: Peer, Support Groups, Shelter/Transitional Housing",530-626-1131,530-626-1450,thecenternow.org,info@thecenternow.org,"344 Placerville Drive, Suite 11",530-626-6895,"Placerville, CA",Free,95667,Wheelchair,M-F 9am-5pm,SPA
Center for Young Women's Development- Sisters Rising Program,"Provides gender specific, peer based oppertunities to high- risk low/no income young women. Serves young women ages 16-24.","Youth, Job/Employment Services",,415-703-8800,cywd.org/,acorral@cywd.org,832 Folsom St. Suite 700,,"San Francisco, CA",Free,94107,,M-F 9am-5pm,
Central American Resource Center (CARECEN),"Provides vital direct services and advocacy to help create a vibrant and thriving Latino immigrant community in San Francisco and the Bay Area. Legal services, public education, health clinic, dental clinic, case management, counseling, tattoo removal program, youth group (jovenes unidos), parent empowerment group. Serves Central American, immigrants, refugees, parents, youth, homeless, low-income populations. Phone options are only in SPA. Need a SPA speaker to confirm entry","Latina/o & Hispanic, Immigrant Resources",,415-642-4400,carecensf.org,info@carecensf.org,3101 Mission St Ste 101,415-824-2806,"San Francisco, CA",10,94110,,M-F 9am-5pm,
A Centro de Servicios,"Non-profit organization which helps immigrants. Need some form of I.D. Helps immigrants find social services; also provides translation, food, clothing, referrals.","Immigrant Resources, Food & Pantry, Clothing & Hygiene, Legal: Services, Latina/o & Hispanic",,510-489-4100,union-city.ca.us/community/centro.htm,,525 H St.,415-489-4543,"Union City, CA",Free,94587,,M-F 9am-5pm,SPA
Centro Latino de San Francisco,"Services include meals, transportation, ESL/citizenship classes, social activities, nutrition education, housing placement, perventive health screenings, case management for seniors, translation, field trips, emergency financial assistance. Open Saturday 9a-4p and Sunday 10a-1p.","Elders (55+), Latina/o & Hispanic",,415-861-8790,centrolatinodsf.org,,1656 15th St.,415-861-4028,"San Francisco, CA",$1.25-3.50,94103,,"M-Sa 9am-4pm, Su 10am-1pm","SPA, RUS"
"Charna Cassell Certified Somatic Practitioner, MFT","Working with trauma and how it lives in the body. Provides Somatic, Psychotherapy bodywork and energy meditation.",Somatic Healing,,415-999-2422,passionatelife.org,info@passionatelife.org,1231 Market St Ste 810,,"San Francisco, CA",$90/session,94103,Wheelchair,,
Child Help USA,"National Child Abuse Hotline. Services include 24-hour crisis-line, counseling information and referrals","Child Sexual Abuse (Child, Client) Hotlines",800-422-4453,,childhelp-usa.net/,,,,", CA",,,,24/7,
Child Protective Services,"Take reports of suspected child abuse for children who live in SF investigate reports as appropriate. Has playroom, counseling for children and parents. Provide services and referrals for families with children at risk for abuse/neglect. TDD: 415-557-5214","24-Hour Services, Child Sexual Abuse (Child, Client) TDD",800-856-5553,415-558-2650,sfhsa.org/174.htm,,PO Box 7988,415-557-5351,"San Francisco, CA",Free,94120,,24/7,"SPA, TGL"
Children of Lesbians and Gays Everywhere,"Colage is the only national and international organization in the world specifically supporting young people with gay, lesbian, bisexual, and transgender parents. Services include various programs to support LGBTQQII families such as family picnics, support groups, etc.","LGBQQ, Significant Others, Youth",855-426-5243,206-549-2054,colage.org,colage@colage.org,PO Box 28448,415-255-8345,"Seattle, CA",,98118,Wheelchair,M-F 10am-6pm,SPA
Children of the Night Line,National crisis intervention line for ages 11-17 who are coerced into prostitution or pornography.,"Youth, Hotlines, Sex Workers",800-551-1300,818-908-4474,childrenofthenight.org,,14530 Sylvan St,818-908-1468,"Van Nuys, CA",,91411,,24/7,SPA
Chinatown Community Development Center,"Tenant advocacy and counseling. Works with City government on improving transportation systems, environmental and open space planning, affordable housing development. TDD: 415-984-9910","Housing Assistance, Asian/Pacific Islander, TDD",,415-984-1450,chinatowncdc.org,info@chinatowncdc.org,1525 Grant Ave.,415-362-7992,"San Francisco, CA",Free,94133,,M-F 9am-5pm,CHI
Chinatown North Beach Mental Health Services,"Offers array of mental health services to adolescents(14+), adult and older adult residents. San Francisco residents, but primarily in Chinatown and North Beach areas. Services include psychiatric evaluation, group activities and therapy, individual counselling, case management, family intervention, crisis intervention, medications, acupuncture. Drop-In hours M-F 9-11 W, F","Counseling: Licensed, Family Services, Youth, Support Groups",,415-352-2000,,wilma.louie@sfdph.org,729 Filbert St.,415-352-2050,"San Francisco, CA",Sliding scale,94133,,M-F 8:30am-5pm,
Chinese Cultural Center of San Francisco,"An organization to preserve, promote and influence Chinese art and offers education though classes and workshops.",Immigrant Resources,,415-986-1822,c-c-c.org,info@c-c-c.org,750 Kearny St.,415-986-2825,"San Francisco, CA",,94108,,,
Chinese for Affirmative Action,"Advocates for equal access to employment opportunities for Asian Americans, offers recruitment/preperarton for jobs for women in construction, public safety, and law enforcement.","Job/Employment Services, Asian/Pacific Islander",,415-274-6750,caasf.org,caa@caasf.org,17 Walter U. Lum Place,415-397-8770,"San Francisco, CA",Free,94108,,M-F 9am-5pm,CHI
Chinese Progressive Association,Improve the living and working conditions of low-income immigrants and give community members a stronger voice in the decision-making processes that affect them.,"Asian/Pacific Islander, Immigrant Resources, Policy Advocacy",,415-391-6986,cpasf.org,justice@cpasf.org,1042 Grant Ave. 5th Floor,415-391-6987,"San Francisco, CA",,94133,,,
City Clinic,"City Clinic is a speciality clinic which has been providing diagnosis and treatment of sexually transmittind diseases (STD) to the San Francisco community since 1933. Services include evaluation & treatment for over 25 STDs, Family Planning, PAP Smears, pregnancy counseling & testing & culposcopy services. HIV Counseling, testing, referrals, partner notifications, early care & post exposure. Serves clients ages 12+. TDD: 415-487-5500","HIV/AIDS, Medical/Health Services, TDD",,415-487-5500,sfcityclinic.org,"Deborah,Williams@sfdph.org",356 7th St.,415-437-9231,"San Francisco, CA","Private insurance, $0-10",94103,,"M/W/F 8am-4pm, Tu 1pm-6pm, Th 1-4pm 48","SPA, CAN, TGL, FRE, RUS, CHI"
Coalition for Family Harmony,CA Rape Crisis Center- Oxnard. Toll Free Crisis # 800-300-2181,"CA Rape Crisis Center, Counseling: Licensed, Counseling: Peer, Domestic Violence, Hotlines",800-300-2118,805-983-6014,thecoalition.org,c.prijatel@thecoalition.org,1030 N. Ventura Rd.,805-983-6240,"Oxnard, CA",Sliding scale -$30,93030,,M-F8-5 closed 12pm-1pm for lunch,
Coalition of Agencies Serving the Elderly (CASE),"Composed of individuals and organizations that assist the elderly, offer information, referrals and education, program planning and development, and advocacy. Info and referral line: 415-355-6770",Elders (55+),,415-447-2498,sfseniors.org,info@sfseniors.org,P.O. Box 420896,415-447-2490,"San Francisco, CA",,94142,Wheelchair,M-F 8am-4:30pm,
Coleman Advocates For Children and Youth,"Coleman Advocates has been the voice for children in SF for over 18 years. Fight for reform, increased budgets for children's services, and innovative policies and programs that focus on prevention, collaboration and community involvement.","Youth, Policy Advocacy",,415-239-0161,colemanadvocates.org,info@colemanadvocates.org,459 Vienna St,415-239-0584,"San Francisco, CA",,94112,Wheelchair,M-F 9am-5pm,SPA
Communities Overcoming Relationship Abuse,"Multicultural agency, serving survivors of domestic violence/abuse. Provides confidential emergency interventions and prevention services.","Domestic Violence, Counseling: Licensed, Counseling: Peer, Emergency Services",800-300-1080,650-652-0800,corasupport.org,,P.O. Box 5090,650-652-0808,"San Mateo, CA",Free,94402,,M-F 9am-5pm,"SPA, TGL"
Community Action Partnership of Madera County,CA Rape Crisis Center- Madera,"CA Rape Crisis Center, Hotlines, Legal: Services",800-355-8989,559-673-9173,maderacap.org,tfigueroa@maderacap.org,1225 Gill Ave,559-673-3223,"Madera, CA",Free,93637,,M-F 9-5,SPA
Community Behavioral Health Services Mobile Crisis Team,Other: 888-246-3333 TDD: 888-484-7200,"Emergency Services, TDD",415-255-3737,415-970-4000,sfdph.org/dph/comupg/oservices/mentalHlth/CBHS/,,"1380 Howard Street, 5th Fl. (at",Tenth St.),"San Francisco, CA",,94103,,24/7,
Community Housing Partnership: Solutions to Homelessness,to help the formerly homeless achieve long-term economic and personal stability -- and an understanding of how to help this population.,"Shelter/Transitional Housing, Job/Employment Services",,415-929-2470,chp-sf.org/,info@chp-sf.org,"20 Jones Street, Suite 200",4157492791,"San Francisco, CA",Free,94102,Wheelchair,M-F 9-5,
Community Solutions,"Multi-service agency providing a variety of services and programs. The rape crisis program provides crisis intervention, counseling for survivors, significant others and family members, accompaniment, advocacy, rape prevention education. Serves South County and San Benito County.",CA Rape Crisis Center,877-363-7238,408-842-7183,communitysolutions.org,cs@communitysolutions.org,9015 Murray Avenue #100,408-778-9672,"Gilroy, CA",,95020,,M-F 9am-5pm,SPA
Community United Against Violence (CUAV),"Organization serving LGBTQ community. Services include support group for battered men. Educational programs. Counseling, help with TRO's. Serves victims of hate crimes & sexual assault (primarily men). Serves all clients including youth (but mandated reporters), Sex Workers, Leather, and Intersex.","LGBQQ, Domestic Violence, Hotlines",415-333-HELP,415-777-5500,cuav.org,info@cuav.org;Jennifer@cuav.org,427 South Van Ness Ave,415-777-5565,"San Francisco, CA",Free,94103,Wheelchair,M-F 10am-6pm,
Community Violence Solutions: East Contra Costa County Office,"Provide in-person counseling, accompaniment, advocacy for sexual assault survivors and their family, community prevention education. Services include Speakers Bureau, self defense video available, teen pregnancy, SART (Sexual Assault Response Team), assertive class, 24-hour crisis line. Serves Contra Costa County.","CA Rape Crisis Center, 24-Hour Services",800-670-7273,925-706-4290,cvsolutions.org,admin@cvsolutions.org,"301 W. 10th St., Suite 3",,"Antioch, CA",,94509,Wheelchair,M-F 9am-5pm,SPA
Community Violence Solutions: San Rafael Office,"Provide in-person counseling, accompaniment, advocacy for sexual assault survivors and their family, community prevention education. Services include Speakers Bureau, self defense video available, teen pregnancy, SART (Sexual Assault Response Team), assertive class, 24-hour crsis line.","CA Rape Crisis Center, 24-Hour Services",800-670-7273,415-259-2850,cvsolutions.org,admin@cvsolutions.org,30N San Pedro #170,,"San Rafael, CA",,94903,Wheelchair,M-F 9am-5pm,SPA
Community Violence Solutions: West Contra Costa County Office,"CA Rape Crisis Center. Services include Speakers Bureau, self defense video available, teen pregnancy, SART (Sexual Assault Response Team), assertiveness class, 24-hour crisis line. Serves all Contra Costa County and all Marin County.","CA Rape Crisis Center, 24-Hour Services",800-670-7273,510-237-0113,cvsolutions.org,admin@cvsolutions.org,2101 Van Ness St.,,"San Pablo, CA",$15-80,94806,Wheelchair,M-F 9am-5pm,SPA
Community Youth Center,"Works to prevent & divert youth from becoming involved in gangs or drugs. Services include case management, employment, after-school programs, individual & family counseling, advocacy for statud offenders. Serves youth ages 11-24.","Youth, Counseling: Licensed, Job/Employment Services, Family Services",,415-775-2636,cycsf.org,cyc@cycsf.org,1038 Post St,415-775-1345,"San Francisco, CA",Free,94109,Wheelchair,M-F 10am-6pm,"CAN, CHI, VIE, TGL"
Compass Connecting Point,"Centralized entryway for homeless or nearly homeless families to access shelter placement and eviction prevention services. Services include financial assistance for move in for eviction prevention for families at risk of homelessness. Serves clients ages 18+/emancipated, homeless families with minor children.",Shelter/Transitional Housing,855-234-2667,415-442-5130,compass-sf.org,connectingpoint@compass-sf.org,"995 Market St., 6th Floor",415-442-5138,"San Francisco, CA",Free,94103,Wheelchair,"M 9am-12pm, W 10:30am-12pm, F 9am-12pm",SPA
Comprehensive Child Crisis Services,"24 Hr. crisis intervention for children and their families. Services include 24-hour crisis line, multi-lingual, crisis intervention & short term stabilization program for families & children who are in emotional distress related to family violence.","Youth, 24-Hour Services, Family Services, Emergency Services",415-970-3800,415-970-3800,,,"3801 3rd. St., Build. B, Ste. 400A",4159703813,"San Francisco, CA","Private insurance, Sliding scale",94124,Wheelchair,M-F 9am-5pm,"SPA, TGL, CAN, VIE"
Cooperative Restraining Order Clinic (CROC),helps domestic violence survivors in San Francisco get restraining orders against their abusers. The services are free and confidential. It is the main way in which women in San Francisco obtain restraining orders.,"Legal: Services, Domestic Violence",415-255-0165,415-864-1790,,emberly@roclinic.org,3543 18st 3rd floor,,"San Francisco, CA",Free,94110,,By appointment,SPA
Curry Senior Services,"Medical treatment, counseling, case management and meals to low-income and frail senior citizens who need assistance, outpatient program for substance abusers. TDD: 415-885-4861","Substance Abuse,  Elders (55+), Medical/Health Services, TDD",,415-885-2274,curryseniorcenter.org,info@curryseniorcenter.org,333 Turk St.,415-885-2344,"San Francisco, CA","Private insurance, Sliding scale",94102,Wheelchair,M-F 9am-5pm,"SPA, TGL, RUS, CAN, LAO, KHM, ASL"
Deaf Hope,"To end domestic and sexual violence againest Deaf women and children through empowerment, education, and services. TDD: 510-267-8800. Crisis line is communicated through email.","Hotlines, Disability, Domestic Violence, 24-Hour Services, TDD",,510-267-8800,deaf-hope.org,deafhope@deaf-hope.org,470 27th St.,510-740-0946,"Oakland, CA",Free,94612,,,
Deaf Women Against Violence,Provides 24/7 crisis services for Deaf and hard of hearing people. TDD: 510-538- 0152,"Hotlines, TDD",,,deaflaw.DWLP.htm,,22418 Mission Blvd.,,"Hayward, CA",,94541,,,
"Debra Warshaw Taube, MFt","Private practice psychotherapy, focus is working with adult survivors of childhood abuse. Serves clients experiencing Adult & Child sexual assault; stalking; LGBT.",Child Sexual Abuse (Adult Client) Counseling: Licensed,,415-928-3352,,,1952 Union St.,,"San Francisco, CA","Private insurance, $20-80",94123,,,
Department of Aging and Adult Services,"The Department of Aging and Adult Services (DAAS) is the Area Agency on Aging for the City and County of San Francisco. In this capacity, DAAS is specifically charged with planning, coordinating, providing and advocating for community-based services for older adults and adults with disabilities.","Disability, Elders (55+)",,415-355-3555,sfgov.org/daas,daas@sfgov.org,1650 Mission St 5th Fl,415-355-6750,"San Francisco, CA",,94103,Wheelchair,M-F 8am-5pm,"CAN, CHI, SPA"
Department on the Status of Women,"Implements the San Francisco Convention on the Elimination of All Forms of Discrimination Against Women (CEDAW) Ordinance. Serves women, girls, and all citizens of San Francisco. TDD: 415-252-2550","Policy Advocacy, TDD",,415-252-2570,sfgov.org/dosw,dosw@sfgov.org,"25 Van Ness Ave., #240",415-252-2575,"San Francisco, CA",,94102,Wheelchair,M-F 9am-5pm,"SPA, CHI"
Destiny Arts Center,"Affordable martial arts training for youth and teens. De-escalation of violence workshops, some taught by teens, excellent performances by and about youth. Martial arts and dance training. Serves youth at risk ages 3-18 and all populations.",Self-Defense,,510-597-1619,destinyarts.org,info@destinyarts.org,970 Grace Avenue,510-597-1620,"Oakland, CA",$25-$213,94608,,"M-Th 10am-7pm, F 10am-5pm, Sa 9am-12:30pm",SPA
Dimensions Youth Clinic,"Dimensions is a special health clinic for LGBTQ young people ages 12-25. For appts call 415-934-7700; New SF Group for trans youth ages 12-15. Fridays 4-5pm Contact: Amy @ 415-934-7716. Serves youth ages 12-25, homeless, transgender clients.","Medical/Health Services, LGBQQ, Youth",,415-934-7757,dimensionsclinic.org,dimensions.clinic@gmail.com,3850 17th St.,415-558-8221,"San Francisco, CA",Sliding scale,94114,,,SPA
Disability Rights Education and Defense Fund,"Work to advance the civil and human rights of people with disabilities through legal advocacy, training, education, and public policy and legislative development. Nationwide referrals available. Services include legal advocacy, education and training, public policy development. Serves people with disabilies and their families, disability service providers. TDD: 510-644-2555","Disability, Policy Advocacy, Legal: Services, TDD",510-644-2629,510-644-2555,dredf.org,info@dredf.org,"3075 Adeline Street, Suite 210",510-841-8645,"Berkeley, CA",Free,94703,Wheelchair,M-F 9am-5pm,"SPA, PER, CAN"
DoD Safe Helpline,"Military Sexual Assault/ Support for Sexual Assault in the military. 24-hour hotline based out of RAINN/ ""advice and support"" Members of the DoD Community will be able to text their zip code or installation name to 55247 (in the US) or 202-470- 5546 (outside the US). They will be texted back info for SARC at their base",24-Hour Services,877-995-5247,202-544-1034,SafeHelpline.org,info@safehelpline.org,"1220 L St, NW Ste 505",,"Washington, D.C.",,20005,,24/7,
Domestic Violence and Assault Coalition,CA Rape Crisis Center- Grass Valley Hotline 24hrs,"CA Rape Crisis Center, 24-Hour Services, Counseling: Peer, Hotlines, Domestic Violence ",530-272-3467,530-272-2046,dvsac.org,info@dvsac.org,960 Mc Courtney Road Suite E,530-273-3780,"Grass Valley, CA",Free,95949,,M-F 9-5,SPA
Donaldina Cameron House,"Indiv. & family counseling for Asian women. Focus on Domestic Violence, but do general counseling as well. No documentation required. Services include program for youth in the Chinese community. Has single mothers, newcomers, and cancer support groups. Individual and group counseling.","Asian/Pacific Islander, Counseling: Licensed, Support Groups, Immigrant Resources",,415-781-0401,cameronhouse.org,cameronhouse@cameronhouse.org,920 Sacramento St.,415-781-0605,"San Francisco, CA",Free,94108,,M-F 9am-5pm,"CAN, VIE, CHI"
Drug and Alcohol Abuse Information Hotline,24hrs,"Hotlines, Substance Abuse",415-362-3400,,,,,,"San Francisco, CA",,,,,
"Earn it, keep it, save it: Free Tax Help",Call for free tax help locations in your neighborhood. East Bay 510-238-2424 West Bay 510-238-2415 call to confirm business line 510-238-2410,Legal: Services,,800-358-8832,earnitkeepitsaveit.org,,,,"National, CA",Free,,,,
East Bay Community Recovery Program,Residential and outpatient clinic for drug & alcohol abusers. No documentation required. Provide counseling & child care. Residential program for poor women and children (infant to 12). HIV support.,Substance Abuse,,510-446-7150,ebcrp.org,mhalpin@ebcrp.org,2545 San Pablo Avenue,510-832-0609,"Oakland, CA","Private insurance, Sliding scale",94612,,M-F 9am-5pm,"SPA, some Asian languages"
East Los Angeles Women's Center,"Provide a wide array of bilingual (SPA/English), culturally sensitive crisis intervention services to the greater LA community. Services include 24 Hour Crisis Line and AIDS hotline 800-400-7432. Serves all ages 12+ in Greater LA County.","CA Rape Crisis Center, Hotlines",800-585-6231,323-526-5819,elawc.org,,1255 South Atlantic Blvd,323-526-5822,"Los Angeles, CA",Free,90022,,M-F 9am-6pm,SPA
EDD Career Link Center,"Interview preperation, resume workshops, career counseling, job listings-CAL jobs via the internet, how to get pay for training, referrals and placement. Require documentation. Serves individuals 16+/legally entitled to work in the U.S.",Job/Employment Services,,415-749-7503,edd.ca.gov,,3120 Mission St. and 801 Turk St.,415-749-7476 Mailing: P.O. Box 7850,"San Francisco, CA",Free,94120,Wheelchair,M-F 8am-5pm,"SPA, CAN, CHI"
Edgewood Center for Children and Families,"Edgewood supports youth and their families through life's challenges with a full continuum of behavioral health services. Focuses on issues such as mental health, family relationships and life skills. Programs range from prevention and early intervention to community-based, day and residential treatment services.","Youth, Support Groups, LGBQQ",,415-681-3211,edgewood.org,,1801 Vicente Street,,"San Francisco, CA",,94116,,,
Ella Baker Center for Human Rights,"Promote positive alternatives to violence and incarceration. Services include hotline, documentation and a legal referral service for victims of police abuse, Documents incidents of police abuse in detail so that they can build up records on problem officers and show patterns of misconduct.","Legal: Services, Hotlines",510-428-3939,510-428-3939,ellabakercenter.org,http://ellabakercenter.org/contact-us,1970 Broadway Suite 1125,510-428-3940,"Oakland, CA",,94612,,M-F 9am-5pm,SPA
Ella Hill Hutch Community Center,"Recreational activities for youth, adults, and seniors. Services include mentorship, case management, and advocacy for kids ages 9-17. Apprenticeships for crafts and construction including job placement services for adults, employment counseling and referrals.","Youth, Job/Employment Services, Elders (55+)",,415-567-0440,ellahillhutchcommunitycenter.org,,1050 McAllister St.,415-921-0643,"San Francisco, CA",Free,94115,Wheelchair,M-F 8am-8pm,
"Ellen Dekker, MFT","Therapy for individuals and couples, gay and straight. Work with trauma, eating disorders, depression, parenting issues, life transitions.",Counseling: Licensed,,415-979-6830,ellendekkertherapy.com/,contactme@ellendekkertherapy.com,4148 24th St,,"San Francisco, CA",,94114,,,
Episcopal Community Service,"All confidential, no documentation required. Daily lottery for beds, no limit to stay. Must be referred from another service. Provides shelter, medical clinic and case management for women and men. Case management lasts up to 6 months, includes counseling. Serves clients ages 18+/emancipated, homeless adults - good place to send someone who has a physical injury, or needs bed rest.","Shelter/Transitional Housing, Counseling: Peer ",,415-487-3300,ecs-sf.org,,"165 Eighth Street, 3rd Floor",415-252-1743,"San Francisco, CA",Free,94103,Wheelchair,M-F 9am-5pm,"SPA, Varies"
Equal Employment Opportunity Commission,"The EEOC investigates complaints of employment discrimination based on race, sex, color, age, national origin, equal pay, religion, pregnancy, marital status, age. TDD: 800-699-6820","Job/Employment Services, Legal: Services, TDD",,800-669-4000,eeoc.gov/field/sanfrancisco/,info@eeoc.gov,450 Golden Gate Avenue 5,"415-625-5609 West, P.O Box 36025","San Francisco, CA",,94102,Wheelchair,M-F 8am-4:30pm,
Equal Rights Advocates,"Equal Rights Advocates provides legal advice and information to individuals. No documentation required. Services include support around sexual harassment, sex discrinination, pay equity, family and medical leave, and other areas related to discrimination at work, as well as sexual harassment at school and stalking. Serves women, primarily women of color","Policy Advocacy, Legal: Services",800-839-4372,415-621-0672,equalrights.org,info@equalrights.org,"180 Howard St, Ste 300",415-621-6744,"San Francisco, CA",Free,94105,,M-F 9am-5:30pm,
Eviction Defence Collaborative,"Provides emergancy help to tenants. If served with a summons and/or complaint and a notice to vacate, bring papers to ED for immediate help.","Family Services, Shelter/Transitional Housing, Housing Assistance",Shelter/Transitional,415-947-0797,evictiondefense.org/,admin@evictiondefense.org,995 Market St 12th Floor,415-947-0331,"San Francisco, CA",Free,94103,,M-F 9:30am-3:30pm closed 11am-1pm,SPA
Exhale,Post abortion counseling line,Hotlines,866-439-4253,510-446-7900,exhaleprovoice.org,info@exhaleprovoice.org,1714 Franklin St. #100-141,309-410-1127,"Oakland, CA",Free,94612,,"M-F 5pm-10pm, Sa-Su 12pm-10pm","SPA, CHI, TGL, VIE"
Family & Child Empowerment Services (formerly Florence Crittenton Services),"Provide comprehensive services that help families rise from surviving to thriving. Services include job skills training, job counseling and placement and infant day care while parent attends school or job training. Serves youth ages 17-, pregnant and parenting teens.","Youth, Job/Employment Services, Services, Family Services, Counseling: Licensed",Job/Employment,415-567-2357,facessf.org/,,1101 Masonic Ave,415-567-2476,"San Francisco, CA",Sliding scale,94117,Wheelchair,M-F 9am-5pm,"SPA, CAN, CHI"
Family Developmental Center (FDC),"Center-based multi-cultural developmental child care program which targets children of families in high risk situations such as violence, abuse, low-income teen parents or CPS and/or criminal justice involvement. Serves children ages 3+.","Incarcerated (Currently/Formerly), Youth, Significant Others, Financial Assistance",(Currently/Formerly),415-282-1090,fsasf-fdc.org,,2730 Bryant St. 1st Floor,415-282-1735,"San Francisco, CA",Sliding scale,94110,Wheelchair,M-F 7:30am-4:30pm,SPA
Family Service Agency of S.F.,"The agency is a private nonprofit nonsectarian human service agency working to strengthen families through caring, effective human services. Services include assessment, prevention, treatment, medication management, psychodynamic therapy, case management, mental health treatment, dual diagnosis, HIV+ mental health treatment. Serves low income families, children, elderly and the disabled.","Counseling: Licensed, HIV/AIDS, Disability",,415-474-7310,FSASF.org,info@fsasf.org,1500 Franklin St,415-931-3773,"San Francisco, CA","Private insurance, Sliding scale",94109,Wheelchair,M-F 8am-6pm,"SPA, CAN"
Family Services of Tulare County,"CA Rape Crisis Center- Visalia. Porterville 559-784-7273. Domestic Violence Visalia 559-732-5941. Tulare 559-685-9515. 24/7 Domestic Violence Hotline: 559- 732-5941, 24/7 Sexual Assault Hotline: 559-732-7371","CA Rape Crisis Center, 24-Hour Services, See description",See,559-732-1970,fstc.net,info@fstc.net,815 W. Oak St.,559-732-6404,"Visalia, CA",,93291,,M-F 8:30am-5:30pm,
Family Support Services of the Bay Area,Strengthening and supporting families in the Bay Area. 24 hour in-home support services; parenting skills for high stress families. Also emergency child care.,"Significant Others, 24-Hour Services, Family Services",,415-861-4060,fssba.org,info@fssba-sf.org,205 13th St. Ste. 3150,415-861-4410,"San Francisco, CA",Free,94103,Wheelchair,M-F 9am-5pm,SPA
Family Violence Law Center,"Legal services focusing on domestic violence. No documentation required. Will work with stalking, but mostly through referrals and information. Have TRO clinic, legal advocacy, representation & court accompaniments, referrals. Alameda County only. Monolingual speaking clients. Has an interpretor service for languages other than SPA or English","Domestic Violence, Legal: Services, Hotlines",800-947-8301,510-208-0220,fvlc.org,info@fvlc.org,470 27th St,510-208-3557,"Oakland, CA",Free,94612,Wheelchair,M-F 9am-5pm,SPA
Family Violence Project,"Must want to be or in the process of pressing charges against the assaulter. If client only seeks counseling services they will be referred somewhere else. Services include legal advocacy, referrals, information",Legal: D.A./Police,,415-553-9044,,,"850 Bryant Street, 3rd Floor,",415-553-1034 Rm. 320,"San Francisco, CA",Free,94103,Wheelchair,M-Su 8am-9pm,"SPA, CAN by arrangement"
Female-to-Male International,"FTMI serves FTM transgendered people and transsexual men. Services include Partners Group. New Men, Beginners and Questioning Group. Couples Group - support and social group for FTMs and their partners in all types of committed relationships.","Support Groups, LGBQQ",,877-267-1440,ftmi.org,info@ftmi.org,601 Van Ness Ave. Suite E327,877-267-1440,"San Francisco, CA",,94102,,,
Filipinos Advocates for Justice,"An organiztion dedicated to empowering the Filipino community. Services include outh development, worker support, voter assistance.",Immigrant Resources,,510-465-9876,filipinos4justice.org/,www.filipinos4justice.org/contact-us/,310 8th St. Suite 308,,"Oakland, CA",,94607,,,Filipino
Fort Help Methadone Program,"Individual and couple counseling. MFCC Interns. Staff members include lesbians, women of color, almost all of whom work with incest, sexual assault issues. No documentation required.",Counseling: Peer,,415-777-9953,forthelpllc.com/,FortHelp@att.net,915 Bryant St,415-777-4717,"San Francisco, CA","Private insurance, $90/week",94103,Wheelchair,M-F 8:15-1:45 Sat-Sun 8:15-11:!5,
Freedom House,Shelter and services for survivors of slavery and human trafficking. Serves Survivors of Slavery and Human Trafficking,"Shelter/Transitional Housing, Counseling: Licensed, Trafficking/Forced Labor",,650-488-0831,freedomhousesf.org/,info@freedomhousesf.org,P.O. Box 2065,6509938723,"Burlingame, CA",Free,94011,,M-F 8:45-7:30,
